result0,abs_diff0,DP_type,blocker,epsilon,gamma
34.591478849808134,0.09728018599493993,standard_DP,NaiveDataBlocker,4,2
34.64553502773644,0.15133636392324945,windsorized_DP,NaiveDataBlocker,4,2
34.27444256724344,0.21975609656975337,standard_DP,ResamplingDataBlockerConstantSize,4,2
34.55308710550459,0.05888844169139418,windsorized_DP,ResamplingDataBlockerConstantSize,4,2
34.81624537848584,0.3220467146726449,standard_DP,ResamplingDataBlockerConstantBlocks,4,2
34.46943935976827,0.024759304044920327,windsorized_DP,ResamplingDataBlockerConstantBlocks,4,2
34.60609040688436,0.111891743071169,standard_DP,NaiveDataBlocker,4,2
34.64295289806223,0.1487542342490329,windsorized_DP,NaiveDataBlocker,4,2
34.51461398529976,0.020415321486566995,standard_DP,ResamplingDataBlockerConstantSize,4,2
34.596646573140696,0.10244790932750192,windsorized_DP,ResamplingDataBlockerConstantSize,4,2
34.15668332674274,0.33751533707045667,standard_DP,ResamplingDataBlockerConstantBlocks,4,2
34.48663744816071,0.007561215652486908,windsorized_DP,ResamplingDataBlockerConstantBlocks,4,2
34.64139206177462,0.1471933979614235,standard_DP,NaiveDataBlocker,4,4
34.65495248048308,0.16075381666988875,windsorized_DP,NaiveDataBlocker,4,4
34.56752575219185,0.07332708837865454,standard_DP,ResamplingDataBlockerConstantSize,4,4
34.443270912736786,0.0509277510764079,windsorized_DP,ResamplingDataBlockerConstantSize,4,4
34.307947348123776,0.1862513156894181,standard_DP,ResamplingDataBlockerConstantBlocks,4,4
34.44850419881906,0.045694464994134876,windsorized_DP,ResamplingDataBlockerConstantBlocks,4,4
34.41499046923174,0.07920819458145445,standard_DP,NaiveDataBlocker,4,4
34.67068322325119,0.1764845594379949,windsorized_DP,NaiveDataBlocker,4,4
34.24843812578792,0.24576053802527298,standard_DP,ResamplingDataBlockerConstantSize,4,4
34.48276068685963,0.011437976953565965,windsorized_DP,ResamplingDataBlockerConstantSize,4,4
35.75881168248705,1.264613018673856,standard_DP,ResamplingDataBlockerConstantBlocks,4,4
34.47866999961875,0.015528664194441433,windsorized_DP,ResamplingDataBlockerConstantBlocks,4,4
34.41495156540017,0.07924709841302047,standard_DP,NaiveDataBlocker,5,2
34.60998476022493,0.11578609641173898,windsorized_DP,NaiveDataBlocker,5,2
34.512011141502036,0.01781247768884242,standard_DP,ResamplingDataBlockerConstantSize,5,2
34.5289676419331,0.034768978119906535,windsorized_DP,ResamplingDataBlockerConstantSize,5,2
34.26221869347601,0.23197997033718565,standard_DP,ResamplingDataBlockerConstantBlocks,5,2
34.29562823765525,0.19857042615794285,windsorized_DP,ResamplingDataBlockerConstantBlocks,5,2
34.5042152631442,0.010016599331002851,standard_DP,NaiveDataBlocker,5,2
34.62042727353753,0.12622860972433614,windsorized_DP,NaiveDataBlocker,5,2
34.40885590007392,0.08534276373927696,standard_DP,ResamplingDataBlockerConstantSize,5,2
34.420442650913984,0.07375601289921008,windsorized_DP,ResamplingDataBlockerConstantSize,5,2
35.22336708971069,0.7291684258974982,standard_DP,ResamplingDataBlockerConstantBlocks,5,2
34.58896504805321,0.09476638424001749,windsorized_DP,ResamplingDataBlockerConstantBlocks,5,2
34.357401320764055,0.13679734304913893,standard_DP,NaiveDataBlocker,5,4
34.54055155923389,0.04635289542069643,windsorized_DP,NaiveDataBlocker,5,4
34.3982918573211,0.0959068064920956,standard_DP,ResamplingDataBlockerConstantSize,5,4
34.50868731926593,0.014488655452737476,windsorized_DP,ResamplingDataBlockerConstantSize,5,4
33.82943035709203,0.6647683067211645,standard_DP,ResamplingDataBlockerConstantBlocks,5,4
34.461942842780594,0.032255821032599385,windsorized_DP,ResamplingDataBlockerConstantBlocks,5,4
35.16245058227763,0.6682519184644349,standard_DP,NaiveDataBlocker,5,4
34.59868910197163,0.10449043815843595,windsorized_DP,NaiveDataBlocker,5,4
34.4291435349857,0.06505512882749542,standard_DP,ResamplingDataBlockerConstantSize,5,4
34.444212999298315,0.04998566451487818,windsorized_DP,ResamplingDataBlockerConstantSize,5,4
34.192695212247436,0.30150345156575753,standard_DP,ResamplingDataBlockerConstantBlocks,5,4
